Scientific Name,Longitude,Latitude
Abies squamata,102.0473456,31.66086999
Abies squamata,102.2062612,31.905842
Abies squamata,100.0033951,29.46859555
Abies squamata,100.1968145,29.45678809
Abies squamata,100.2814444,29.5390556
Abies squamata,101.0046959,30.03120404
Abies squamata,100.2968073,30.32461926
Abies squamata,100.302856,30.472856
Abies squamata,101.8750191,29.9904748
Abies squamata,101.888684,29.992297
Abies squamata,99.33872223,29.04926686
Abies squamata,99.389534,29.04026246
Abies squamata,100.7591343,31.58091183
Abies squamata,101.8466389,31.47288889
Abies squamata,99.78787422,28.93124697
Abies squamata,101.5300655,30.81690398
Abies squamata,101.6326387,30.7799516
Abies squamata,102.3052025,31.71575572
Abies squamata,99.7945833,29.7054167
Abies squamata,99.81422424,29.71191043
Abies squamata,101.5280914,28.99432779
Abies squamata,101.549077,29.47614263
Abies squamata,101.7570877,29.5227577
Abies squamata,100.7391357,31.86997723
Abies squamata,100.3371477,28.45461859
Abies squamata,100.0909424,29.19899962
Abies squamata,100.1284504,29.19135706
Abies squamata,99.35199105,30.3123439
Abies squamata,98.98546457,31.47854355
Abies squamata,99.1050911,31.04727198
Abies squamata,99.69627142,31.61338942
Abies squamata,99.7853889,29.7290278
Abies squamata,99.79894638,29.72070652
Abies squamata,99.93962288,29.14993125
Abies squamata,100.04262,29.13147
Abies squamata,100.0902557,30.88929886
Abies squamata,100.2310181,28.66814799
Abies squamata,100.3285646,30.94710177
Abies squamata,100.4474187,30.52293455
Abies squamata,100.617,32.21
Abies squamata,100.6761789,31.87256485
Abies squamata,100.6970787,31.43269115
Abies squamata,100.7611084,31.40639598
Abies squamata,100.7646275,32.3425513
Abies squamata,100.9424686,31.10372991
Abies squamata,100.943327,31.07962177
Abies squamata,101.0723305,31.78771887
Abies squamata,101.2631321,30.59457134
Abies squamata,101.4735889,29.26401322
Abies squamata,101.737043,30.421181
Abies squamata,101.9903755,30.6117659
Abies squamata,102.233939,31.321761
Abies squamata,102.279877,31.326419
Abies squamata,101.4868927,29.14256616
Abies squamata,98.86425018,31.12584816
Abies squamata,100.5126111,29.2221944
Abies squamata,100.54019,32.8929573
